Country_code,Sector,d2014_2024,grid,d2014_2023
HUN,Sound recording,,grid2023B,35.652183532714844
JPN,Sound recording,,grid2023B,-17.99687957763672
BRA,Sound recording,,grid2023B,-21.200830459594727
IDN,Sound recording,,grid2023B,-57.097328186035156
HUN,Construction,,grid2023B,49.37839126586914
LTU,Construction,,grid2023B,37.334373474121094
CHL,Construction,,grid2023B,29.80699920654297
JPN,Construction,,grid2023B,-19.645610809326172
BRA,Construction,,grid2023B,-22.436620712280273
CHN,Construction,,grid2023B,-23.042036056518555
RUS,Courier services,,grid2023B,44.54815673828125
HUN,Courier services,,grid2023B,39.256412506103516
CZE,Courier services,,grid2023B,19.096599578857422
ISL,Courier services,,grid2023B,-36.98194122314453
NOR,Courier services,,grid2023B,-40.05522537231445
KAZ,Courier services,,grid2023B,-71.33106231689453
POL,Computer services,,grid2023B,61.743919372558594
HUN,Computer services,,grid2023B,61.57639694213867
CZE,Computer services,,grid2023B,49.00540542602539
EST,Computer services,,grid2023B,-22.684654235839844
PRT,Computer services,,grid2023B,-26.628591537475586
BRA,Computer services,,grid2023B,-27.52849769592285
RUS,Distribution services,,grid2023B,40.45665740966797
POL,Distribution services,,grid2023B,31.390840530395508
HUN,Distribution services,,grid2023B,31.205078125
PRT,Distribution services,,grid2023B,-21.938772201538086
BRA,Distribution services,,grid2023B,-29.445953369140625
IDN,Distribution services,,grid2023B,-45.93366622924805
RUS,Commercial banking,,grid2023B,66.06216430664062
ITA,Commercial banking,,grid2023B,56.35358428955078
NZL,Commercial banking,,grid2023B,28.57141876220703
CRI,Commercial banking,,grid2023B,-16.60231590270996
KOR,Commercial banking,,grid2023B,-17.819162368774414
BRA,Commercial banking,,grid2023B,-32.0
RUS,Insurance,,grid2023B,19.734825134277344
LTU,Insurance,,grid2023B,13.269716262817383
CZE,Insurance,,grid2023B,8.863250732421875
EST,Insurance,,grid2023B,-23.46771240234375
ZAF,Insurance,,grid2023B,-26.818920135498047
CHN,Insurance,,grid2023B,-28.711593627929688
POL,Logistics cargo-handling,,grid2023B,53.0526123046875
HUN,Logistics cargo-handling,,grid2023B,51.11875915527344
LTU,Logistics cargo-handling,,grid2023B,44.262306213378906
JPN,Logistics cargo-handling,,grid2023B,-25.91092872619629
IDN,Logistics cargo-handling,,grid2023B,-27.888036727905273
CHN,Logistics cargo-handling,,grid2023B,-36.316566467285156
RUS,Logistics customs brokerage,,grid2023B,57.2874641418457
POL,Logistics customs brokerage,,grid2023B,40.2439079284668
HUN,Logistics customs brokerage,,grid2023B,34.92366409301758
CHL,Logistics customs brokerage,,grid2023B,-21.55512237548828
BRA,Logistics customs brokerage,,grid2023B,-29.473682403564453
JPN,Logistics customs brokerage,,grid2023B,-36.24382019042969
HUN,Logistics freight forwarding,,grid2023B,55.55554962158203
POL,Logistics freight forwarding,,grid2023B,54.878047943115234
RUS,Logistics freight forwarding,,grid2023B,40.306114196777344
PRT,Logistics freight forwarding,,grid2023B,-25.850332260131836
IDN,Logistics freight forwarding,,grid2023B,-29.573165893554688
BRA,Logistics freight forwarding,,grid2023B,-34.52914810180664
POL,Logistics storage and warehouse,,grid2023B,53.60919189453125
CZE,Logistics storage and warehouse,,grid2023B,53.41389465332031
LTU,Logistics storage and warehouse,,grid2023B,48.939453125
JPN,Logistics storage and warehouse,,grid2023B,-21.732376098632812
BRA,Logistics storage and warehouse,,grid2023B,-23.42161750793457
IDN,Logistics storage and warehouse,,grid2023B,-25.64143943786621
CHL,Accounting services,,grid2023B,35.46512222290039
HUN,Accounting services,,grid2023B,27.76327133178711
RUS,Accounting services,,grid2023B,27.724348068237305
BRA,Accounting services,,grid2023B,-8.917506217956543
AUS,Accounting services,,grid2023B,-10.78037166595459
PRT,Accounting services,,grid2023B,-13.272007942199707
CZE,Architecture services,,grid2023B,35.625003814697266
RUS,Architecture services,,grid2023B,32.560142517089844
DEU,Architecture services,,grid2023B,30.052730560302734
CHN,Architecture services,,grid2023B,-25.36534309387207
SGP,Architecture services,,grid2023B,-31.578943252563477
PRT,Architecture services,,grid2023B,-47.25777053833008
HUN,Engineering services,,grid2023B,36.37010955810547
RUS,Engineering services,,grid2023B,35.13270950317383
LTU,Engineering services,,grid2023B,30.082992553710938
KOR,Engineering services,,grid2023B,-19.72223472595215
BRA,Engineering services,,grid2023B,-23.027814865112305
CHN,Engineering services,,grid2023B,-24.41680145263672
RUS,Legal services,,grid2023B,55.09285354614258
AUT,Legal services,,grid2023B,27.22151756286621
CHL,Legal services,,grid2023B,20.988807678222656
