cou,Sector_name,stri_score,all_average,Grid,country_code,Restriction_on_foreign_entry,Restrictions_movement_people,Other_discriminatory_measures,Barriers_to_competition,Regulatory_transparency,grid,filter
"ESP","Accounting services",.2282773,.3222739,"STRI2024","",,,,,,"",""
"ESP","Road freight transport",.1571318,.2135189,"STRI2024","",,,,,,"",""
"ESP","Air transport",.3501605,.3991205,"STRI2024","",,,,,,"",""
"ESP","..",,,"STRI2024","",,,,,,"",""
"EST",".",,,"STRI2024","",,,,,,"",""
"EST","Insurance",.0588487,.208546,"STRI2024","",,,,,,"",""
"EST","Storage and warehouse",.1310751,.2270441,"STRI2024","",,,,,,"",""
"EST","Courier services",.1458736,.2521062,"STRI2024","",,,,,,"",""
"EST","Customs brokerage",.1286591,.2221667,"STRI2024","",,,,,,"",""
"EST","..............",,,"STRI2024","",,,,,,"",""
"EST","Maritime transport",.2815661,.2597716,"STRI2024","",,,,,,"",""
"EST","Construction",.2429138,.2202079,"STRI2024","",,,,,,"",""
"EST","Legal services",.4143781,.3431566,"STRI2024","",,,,,,"",""
"EST","Architecture services",.2951115,.2411866,"STRI2024","",,,,,,"",""
"EST","..",,,"STRI2024","",,,,,,"",""
"FIN",".",,,"STRI2024","",,,,,,"",""
"FIN","Legal services",.1266285,.3431566,"STRI2024","",,,,,,"",""
"FIN","Accounting services",.2129882,.3222739,"STRI2024","",,,,,,"",""
"FIN","Architecture services",.1790944,.2411866,"STRI2024","",,,,,,"",""
"FIN","Telecommunication",.1765851,.2323081,"STRI2024","",,,,,,"",""
"FIN","..............",,,"STRI2024","",,,,,,"",""
"FIN","Computer services",.218304,.1985865,"STRI2024","",,,,,,"",""
"FIN","Road freight transport",.2451463,.2135189,"STRI2024","",,,,,,"",""
"FIN","Insurance",.2410656,.208546,"STRI2024","",,,,,,"",""
"FIN","Distribution services",.2283535,.1939113,"STRI2024","",,,,,,"",""
"FIN","..",,,"STRI2024","",,,,,,"",""
"FRA",".",,,"STRI2024","",,,,,,"",""
"FRA","Courier services",.1008119,.2521062,"STRI2024","",,,,,,"",""
"FRA","Insurance",.0969807,.208546,"STRI2024","",,,,,,"",""
"FRA","Customs brokerage",.1220491,.2221667,"STRI2024","",,,,,,"",""
"FRA","Cargo-handling",.1383329,.2335852,"STRI2024","",,,,,,"",""
"FRA","..............",,,"STRI2024","",,,,,,"",""
"FRA","Motion pictures",.2257906,.1957463,"STRI2024","",,,,,,"",""
"FRA","Accounting services",.3808658,.3222739,"STRI2024","",,,,,,"",""
"FRA","Architecture services",.3084028,.2411866,"STRI2024","",,,,,,"",""
"FRA","Legal services",.4664917,.3431566,"STRI2024","",,,,,,"",""
"FRA","..",,,"STRI2024","",,,,,,"",""
"GBR",".",,,"STRI2024","",,,,,,"",""
"GBR","Legal services",.1210985,.3431566,"STRI2024","",,,,,,"",""
"GBR","Telecommunication",.0977126,.2323081,"STRI2024","",,,,,,"",""
"GBR","Engineering services",.1011046,.2150542,"STRI2024","",,,,,,"",""
"GBR","Rail freight transport",.1483392,.314982,"STRI2024","",,,,,,"",""
"GBR","..............",,,"STRI2024","",,,,,,"",""
"GBR","Sound recording",.1239697,.1926607,"STRI2024","",,,,,,"",""
"GBR","Accounting services",.2299425,.3222739,"STRI2024","",,,,,,"",""
"GBR","Motion pictures",.1473612,.1957463,"STRI2024","",,,,,,"",""
"GBR","Road freight transport",.1812063,.2135189,"STRI2024","",,,,,,"",""
"GBR","..",,,"STRI2024","",,,,,,"",""
"GRC",".",,,"STRI2024","",,,,,,"",""
"GRC","Rail freight transport",.1631732,.314982,"STRI2024","",,,,,,"",""
"GRC","Courier services",.1817364,.2521062,"STRI2024","",,,,,,"",""
"GRC","Storage and warehouse",.1791809,.2270441,"STRI2024","",,,,,,"",""
