Sector_name,country_here,stri_score,stri_score_intraeea,Grid
Courier services,FRA,0.09595050662755966,0.03601008281111717,STRI2023
Distribution services,FRA,0.20922261476516724,0.11804204434156418,STRI2023
Cargo-handling,FRA,0.13199898600578308,0.05041804164648056,STRI2023
Storage and warehouse,FRA,0.16315700113773346,0.09244027733802795,STRI2023
Freight-forwarding,FRA,0.128484845161438,0.023030303418636322,STRI2023
Customs brokerage,FRA,0.11071766167879105,0.04060434550046921,STRI2023
Market bridging and supporting services,FRA,,,STRI2023
Legal services,FRA,0.46649169921875,0.11041335016489029,STRI2023
Accounting services,FRA,0.37102630734443665,0.09551922231912613,STRI2023
Commercial banking,FRA,0.16013745963573456,0.0632302388548851,STRI2023
Insurance,FRA,0.09194011986255646,0.03049548901617527,STRI2023
Physical infrastructure services,FRA,,,STRI2023
Construction,FRA,0.16028079390525818,0.01819106750190258,STRI2023
Architecture services,FRA,0.2836224436759949,0.13074612617492676,STRI2023
Engineering services,FRA,0.11339043825864792,0.015779981389641762,STRI2023
Digital network,GRC,,,STRI2023
Computer services,GRC,0.25632336735725403,0.01473934669047594,STRI2023
Telecommunication,GRC,0.21035221219062805,0.04570937901735306,STRI2023
Broadcasting,GRC,0.2633695602416992,0.05339265987277031,STRI2023
Motion pictures,GRC,0.1800646185874939,0.010183099657297134,STRI2023
Sound recording,GRC,0.23035497963428497,0.013188262470066547,STRI2023
Logistics and related services,GRC,,,STRI2023
Air transport,GRC,0.4028172194957733,0.13051436841487885,STRI2023
Maritime transport,GRC,0.3461664021015167,0.04828711226582527,STRI2023
Road freight transport,GRC,0.2337561547756195,0.03442919999361038,STRI2023
Rail freight transport,GRC,0.17671717703342438,0.04159948229789734,STRI2023
Courier services,GRC,0.1916554868221283,0.03601008281111717,STRI2023
Distribution services,GRC,0.2567589581012726,0.10171076655387878,STRI2023
Cargo-handling,GRC,0.2082594335079193,0.01950848661363125,STRI2023
Storage and warehouse,GRC,0.19556313753128052,0.043020475655794144,STRI2023
Freight-forwarding,GRC,0.19515150785446167,0.01818181946873665,STRI2023
